generation,rank_1,rank_2,swapAccepted
1080000,2,4,0
1081000,2,4,0
1082000,1,2,0
1083000,2,3,0
1084000,2,4,0
1085000,1,4,0
1086000,1,4,0
1087000,1,2,0
1088000,2,4,0
1089000,1,4,0
1090000,1,4,0
1091000,2,4,0
1092000,2,3,0
1093000,2,4,0
1094000,1,4,0
1095000,1,2,0
1096000,1,2,0
1097000,1,3,0
1098000,2,4,0
1099000,2,4,0
1100000,1,4,0
1101000,1,2,0
1102000,2,4,0
1103000,1,2,0
1104000,2,3,0
1105000,1,2,0
1106000,3,4,0
1107000,1,2,0
1108000,1,2,0
1109000,2,3,0
1110000,3,4,0
1111000,1,3,0
1112000,2,3,0
1113000,3,4,0
1114000,2,4,0
1115000,1,4,0
1116000,2,4,0
1117000,1,4,0
1118000,1,3,0
1119000,2,3,0
1120000,1,4,0
1121000,1,3,0
1122000,1,4,0
1123000,2,4,0
1124000,1,2,0
1125000,1,4,0
1126000,1,3,0
1127000,2,4,0
1128000,3,4,0
1129000,2,4,0
1130000,2,4,0
1131000,2,3,0
1132000,1,3,0
1133000,1,2,0
1134000,1,3,0
1135000,1,2,0
1136000,1,2,0
1137000,2,3,0
1138000,1,3,0
1139000,1,4,0
1140000,2,3,0
1141000,1,4,0
1142000,1,4,0
1143000,3,4,0
1144000,2,4,0
1145000,1,4,0
1146000,1,2,0
1147000,1,3,0
1148000,1,2,0
1149000,1,3,0
1150000,2,4,0
1151000,2,3,0
1152000,1,2,0
1153000,2,4,0
1154000,1,4,0
1155000,2,4,0
1156000,1,3,0
1157000,2,4,0
1158000,1,2,0
1159000,2,3,0
1160000,1,4,0
1161000,2,4,0
1162000,2,3,0
1163000,1,4,0
1164000,2,4,0
1165000,1,4,0
1166000,2,3,0
1167000,1,2,0
1168000,1,4,0
1169000,2,3,0
1170000,3,4,0
1171000,1,3,0
1172000,1,4,0
1173000,2,4,0
1174000,3,4,0
1175000,1,3,0
1176000,2,3,0
1177000,1,2,0
1178000,2,4,0
1179000,3,4,0
1180000,2,4,0
1181000,2,4,0
1182000,2,3,0
1183000,2,3,0
1184000,2,3,0
1185000,1,4,0
1186000,3,4,0
1187000,1,3,0
1188000,1,2,0
1189000,1,2,0
1190000,3,4,0
1191000,2,4,0
1192000,3,4,0
1193000,2,4,0
1194000,2,3,0
1195000,2,4,0
1196000,1,4,0
1197000,1,2,0
1198000,2,3,0
1199000,2,3,0
1200000,3,4,0
1201000,2,3,0
1202000,1,3,0
1203000,1,3,0
1204000,1,4,0
1205000,1,4,0
1206000,2,3,0
1207000,2,4,0
1208000,2,4,0
1209000,3,4,0
1210000,2,4,0
1211000,2,3,0
1212000,2,4,0
1213000,2,4,0
1214000,1,2,0
1215000,1,4,0
1216000,1,4,0
1217000,1,3,0
1218000,2,4,0
1219000,1,2,0
1220000,1,2,0
1221000,1,2,0
1222000,2,4,0
1223000,3,4,0
1224000,2,4,0
1225000,2,4,0
1226000,1,2,0
1227000,2,3,0
1228000,3,4,0
